ensembl_id	SRR349741	SRR349742	SRR349743	SRR349744	SRR349745	SRR349746	SRR349747	SRR349748	SRR349749	SRR349750	SRR349751	SRR349752
ENSG00000165623.9	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000165626.16	76	717	120	911	38	193	61	0	38	31	38	136
ENSG00000165629.19	19385	23649	14852	20969	26676	60524	25951	10363	32610	13406	21717	15950
ENSG00000165630.13	2688	2759	2384	3162	2719	5073	2722	947	2684	1095	1733	1027
ENSG00000165632.7	342	490	688	608	1035	872	1285	0	152	38	114	76
ENSG00000165633.12	226	1961	1021	1890	1964	2137	2116	114	114	228	266	0
ENSG00000165637.13	15701	8146	5554	12862	13803	31332	9857	5338	16096	6937	16539	14320
ENSG00000165643.10	0	0	0	20	630	0	794	0	0	0	0	0
ENSG00000165644.10	3374	1397	2497	1081	1083	2940	1238	1856	3401	1806	2528	2058
ENSG00000165646.11	2793	2656	952	1872	2500	4577	651	788	3650	1328	2604	1032
ENSG00000165650.11	12257	11610	8143	9432	14171	24416	5792	5544	17605	6581	16806	8356
ENSG00000165655.16	970	1104	6203	1402	901	2004	976	705	423	470	784	484
ENSG00000165660.7	6976	4037	2115	6022	5894	15471	4596	2115	5682	2528	3437	2949
ENSG00000165661.16	2657	2391	1938	3443	3495	4156	5348	114	380	152	75	114
ENSG00000165669.13	7578	3790	2199	4665	8422	9002	3541	911	2921	1674	2480	2200
ENSG00000165671.18	7001	11995	5979	10008	7267	6492	19564	2038	4575	1946	4649	2598
ENSG00000165672.6	4650	4322	2654	6477	7226	10110	9531	903	1963	1630	1700	1130
ENSG00000165675.16	1475	1519	795	903	2451	3126	2358	304	606	114	413	76
ENSG00000165678.20	41691	30438	14193	24680	28714	74113	20991	10551	36879	15162	23576	20521
ENSG00000165682.14	0	0	76	0	0	0	151	0	0	0	0	0
ENSG00000165684.4	340	455	608	813	771	750	727	76	189	152	187	0
ENSG00000165685.8	187	76	3875	105	148	96	638	0	38	0	38	0
ENSG00000165688.11	1403	2130	894	2923	3011	5218	3357	597	606	529	796	950
ENSG00000165689.16	1057	1252	646	1207	1975	2485	1468	38	262	152	378	114
ENSG00000165694.9	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000165695.9	113	6	535	75	302	116	134	0	76	76	196	97
ENSG00000165698.15	303	263	379	528	531	682	510	152	417	152	608	266
ENSG00000165699.13	4479	4266	3723	7393	6172	13982	6594	1099	3252	1358	2512	1985
ENSG00000165702.13	75	41	76	27	61	120	103	0	149	0	72	38
ENSG00000165704.14	10074	4473	5979	7150	8661	10128	9990	950	2087	679	1516	1059
ENSG00000165714.10	767	1687	1882	1465	1555	2141	2119	190	264	265	378	454
ENSG00000165716.10	1092	581	215	873	402	752	228	180	187	0	49	91
ENSG00000165724.5	3594	3999	1844	3918	3951	7195	2905	667	1304	938	1524	855
ENSG00000165730.14	3074	76	114	342	4378	302	190	114	38	76	38	76
ENSG00000165731.17	189	684	76	114	150	303	337	38	0	0	0	0
